Team,Year,Win/Loss,Home/Away,Date,Opponent,SP,Kills,Errors,Attack Attempts,Hitting percentage,Assists,Service Aces,Service errors,Reception Errors,Digs,Block solo,Block assists,Blocking errors,Total Blocks,BHE,,,,,
Augustana,2018,0,1,Oct 27 ,WINONA STATE  ,4 ,38 ,26 ,154 ,.078 ,36 ,6 ,3 ,8 ,71 ,1 ,12 ,0 ,7.0 ,2 ,,,,,
Augustana,2018,0,0,Nov 02 ,at CSP  ,3 ,37 ,15 ,97 ,.227 ,37 ,1 ,5 ,10 ,48 ,1 ,2 ,2 ,2.0 ,1 ,,,,,
Augustana,2018,0,0,Nov 03 ,at MSU  ,4 ,38 ,20 ,152 ,.118 ,38 ,3 ,11 ,5 ,63 ,4 ,10 ,0 ,9.0 ,0 ,,,,,
Augustana,2017,0,1,Sep 14 ,SMSU  ,5 ,63 ,20 ,191 ,.225 ,56 ,8 ,7 ,5 ,84 ,0 ,16 ,3 ,8.0 ,1 ,,,,,
Augustana,2017,0,0,Sep 16 ,at Sioux Falls  ,5 ,67 ,32 ,186 ,.188 ,60 ,6 ,7 ,5 ,65 ,0 ,28 ,2 ,14.0 ,4 ,,,,,
Augustana,2017,0,0,Sep 19 ,at Wayne State (Neb.)  ,5 ,66 ,30 ,186 ,.194 ,61 ,5 ,2 ,5 ,98 ,0 ,22 ,1 ,11.0 ,0 ,,,,,
Augustana,2017,1,0,Sep 22 ,at St. Cloud State  ,4 ,48 ,22 ,165 ,.158 ,43 ,4 ,8 ,7 ,77 ,0 ,18 ,0 ,9.0 ,2 ,,,,,
Augustana,2017,0,0,Sep 23 ,at Minnesota Duluth  ,4 ,61 ,19 ,168 ,.250 ,54 ,6 ,4 ,4 ,64 ,1 ,6 ,1 ,4.0 ,0 ,,,,,
Augustana,2017,1,1,Sep 29 ,BEMIDJI STATE  ,3 ,44 ,15 ,111 ,.261 ,43 ,12 ,6 ,5 ,51 ,0 ,8 ,1 ,4.0 ,0 ,,,,,
Augustana,2017,1,1,Sep 30 ,UM CROOKSTON  ,3 ,49 ,19 ,138 ,.217 ,47 ,7 ,3 ,1 ,71 ,0 ,8 ,1 ,4.0 ,0 ,,,,,
Augustana,2017,1,0,Oct 06 ,at Minot State  ,3 ,40 ,17 ,108 ,.213 ,38 ,10 ,4 ,0 ,55 ,0 ,10 ,1 ,5.0 ,4 ,,,,,
Augustana,2017,1,0,Oct 07 ,at University of Mary  ,3 ,41 ,4 ,88 ,.420 ,38 ,10 ,7 ,2 ,40 ,2 ,16 ,2 ,10.0 ,0 ,,,,,
Augustana,2017,1,1,Oct 13 ,MSU MOORHEAD  ,3 ,49 ,12 ,131 ,.282 ,46 ,5 ,4 ,3 ,77 ,1 ,8 ,1 ,5.0 ,0 ,,,,,
Augustana,2017,1,1,Oct 14 ,NORTHERN STATE  ,4 ,68 ,22 ,167 ,.275 ,66 ,5 ,8 ,6 ,62 ,0 ,14 ,2 ,7.0 ,1 ,,,,,
Augustana,2017,1,0,Oct 20 ,at Minnesota State  ,4 ,57 ,17 ,164 ,.244 ,52 ,8 ,7 ,7 ,83 ,5 ,0 ,2 ,5.0 ,1 ,,,,,
Augustana,2017,0,0,Oct 21 ,at Concordia-St. Paul  ,4 ,54 ,18 ,153 ,.235 ,49 ,4 ,3 ,8 ,61 ,2 ,14 ,0 ,9.0 ,2 ,,,,,
Augustana,2017,0,1,Oct 27 ,WINONA STATE  ,3 ,40 ,19 ,129 ,.163 ,38 ,2 ,6 ,3 ,60 ,4 ,2 ,2 ,5.0 ,1 ,,,,,
Augustana,2017,1,1,Oct 28 ,vs Upper Iowa  ,5 ,68 ,24 ,227 ,.194 ,66 ,3 ,4 ,7 ,121 ,1 ,26 ,1 ,14.0 ,5 ,,,,,
Augustana,2017,0,1,Oct 31 ,WAYNE STATE (NEB.)  ,4 ,51 ,27 ,164 ,.146 ,49 ,2 ,5 ,4 ,70 ,1 ,14 ,2 ,8.0 ,2 ,,,,,
Augustana,2017,1,0,Nov 03 ,at UM Crookston  ,3 ,59 ,10 ,147 ,.333 ,58 ,3 ,4 ,1 ,81 ,2 ,2 ,2 ,3.0 ,0 ,,,,,
Augustana,2017,1,0,Nov 04 ,at Bemidji State  ,3 ,42 ,17 ,101 ,.248 ,37 ,5 ,6 ,2 ,45 ,6 ,4 ,0 ,8.0 ,0 ,,,,,
Augustana,2017,1,1,Nov 10 ,MINNESOTA DULUTH  ,4 ,53 ,13 ,139 ,.288 ,51 ,1 ,13 ,4 ,53 ,3 ,16 ,0 ,11.0 ,3 ,,,,,
Augustana,2017,1,1,Nov 11 ,ST. CLOUD STATE  ,3 ,41 ,12 ,109 ,.266 ,37 ,5 ,1 ,1 ,60 ,0 ,12 ,4 ,6.0 ,1 ,,,,,
Augustana,2017,1,0,Nov 15 ,at Northern State  ,4 ,60 ,25 ,190 ,.184 ,54 ,6 ,8 ,3 ,86 ,0 ,14 ,1 ,7.0 ,0 ,,,,,
Augustana,2017,0,0,Nov 18 ,vs SMSU  ,5 ,73 ,21 ,205 ,.254 ,70 ,5 ,0 ,11 ,90 ,2 ,14 ,3 ,9.0 ,3 ,,,,,
Bemidji St.,2019,0,1,Sep 20 ,at MSU  ,4,52,18.00,115.00,0.296,49,7,7,10,46,3,2,3,4,1,,,,,
Bemidji St.,2019,0,1,Sep 21 ,CONCORDIA-ST. PAUL  ,5,54,21.00,128.00,0.258,53,2,8,5,47,3,8,3,7,2,,,,,
Bemidji St.,2019,0,0,Sep 27 ,WINONA STATE  ,4,44,19.00,141.00,0.177,42,3,7,7,49,1,14,1,8,0,,,,,
Bemidji St.,2019,0,0,Sep 28 ,UPPER IOWA  ,3,27,20.00,100.00,0.070,26,5,4,4,35,0,0,3,0,1,,,,,
Bemidji St.,2019,0,0,10/4,MSU MOORHEAD  ,3,47,24.00,141.00,0.163,42,5,10,4,63,0,8,1,4,0,,,,,
Bemidji St.,2019,0,0,10/5,NORTHERN ST.  ,3,22,21.00,117.00,0.009,19,1,3,4,39,1,8,0,5,1,,,,,
Bemidji St.,2019,1,1,Oct 11 ,MINOT ST.  ,4,52,24.00,149.00,0.188,51,10,10,5,69,8,4,2,10,3,,,,,
Bemidji St.,2019,1,1,Oct 12 ,MARY  ,4,52,22.00,156.00,0.192,50,8,12,5,73,3,8,0,7,0,,,,,
Bemidji St.,2019,0,1,Oct 15 ,MINN. DULUTH  ,3,28,18.00,105.00,0.095,25,5,9,6,27,8,14,3,15,0,,,,,
Bemidji St.,2019,0,0,Oct 18 ,SMSU  ,3,26,11.00,115.00,0.130,24,3,0,5,51,0,2,0,1,0,,,,,
Bemidji St.,2019,0,0,Oct 19 ,SIOUX FALLS  ,3,38,19.00,120.00,0.158,34,8,1,6,49,0,8,2,4,0,,,,,
Bemidji St.,2019,0,1,Oct 25 ,AUGUSTANA,3,30,19.00,112.00,0.098,29,8,9,8,43,1,6,1,4,0,,,,,
Bemidji St.,2019,1,1,Oct 26 ,WAYNE ST. (NE)  ,4,55,24.00,128.00,0.242,53,3,5,7,51,3,10,2,8,0,,,,,
Bemidji St.,2019,1,0,Oct 31 ,UM CROOKSTON  ,4,52,22.00,125.00,0.240,50,6,7,10,49,2,2,0,3,0,,,,,
Bemidji St.,2019,0,1,Nov 02 ,ST. CLOUD ST.  ,3,31,11.00,109.00,0.183,30,3,1,4,48,4,2,0,5,1,,,,,
Bemidji St.,2019,0,0,11/5,MINN. DULUTH  ,4,39,17.00,134.00,0.164,38,2,7,7,50,1,12,0,7,0,,,,,
Bemidji St.,2019,0,1,11/8,WINONA STATE  ,3,33,17.00,97.00,0.165,32,3,8,3,34,4,0,0,4,1,,,,,
Bemidji St.,2019,0,1,11/9,UPPER IOWA  ,3,32,19.00,101.00,0.129,30,3,3,8,42,2,8,0,6,0,,,,,
Bemidji St.,2019,0,0,Nov 15 ,MINNESOTA ST.  ,3,26,18.00,94.00,0.085,23,5,3,8,31,2,0,2,2,2,,,,,
Bemidji St.,2019,0,0,Nov 16 ,CSP  ,3,22,14.00,86.00,0.093,21,4,1,4,29,1,2,3,2,0,,,,,
Bemidji St.,2017,0,0,Sep 14 ,ST. CLOUD ST.  ,4,38,21.00,120.00,0.142,36,0,4,10,55,5,18,3,14,2,,,,,
Bemidji St.,2017,0,1,9/13,MINN. DULUTH  ,3,24,18.00,91.00,0.066,22,3,1,9,35,4,4,0,6,2,,,,,
Bemidji St.,2017,0,0,Sep 19 ,UM CROOKSTON  ,5,59,23.00,173.00,0.208,55,4,16,5,60,1,18,0,10,0,,,,,
Bemidji St.,2017,0,1,Sep 22 ,MINNESOTA ST.  ,3,24,21.00,77.00,0.039,22,3,3,6,24,3,4,1,5,0,,,,,
Bemidji St.,2017,0,1,Sep 23 ,SiOUX FALLS  ,4,25,24.00,130.00,0.008,25,5,6,6,47,9,14,1,16,3,,,,,
Bemidji St.,2017,0,0,Sep 29 ,AUGUSTANA,3,23,13.00,96.00,0.104,21,5,5,12,40,0,6,0,3,1,,,,,
Bemidji St.,2017,0,0,Sep 30 ,WAYNE ST. (NE)  ,3,22,25.00,95.00,-0.032,18,4,2,6,40,0,10,1,5,1,,,,,
Bemidji St.,2017,0,1,10/3,ST. CLOUD ST.  ,3,32,17.00,116.00,0.129,30,2,5,5,43,2,4,1,4,1,,,,,
Bemidji St.,2017,0,1,Oct 06 ,UPPER IOWA  ,3,23,15.00,113.00,0.071,22,0,3,5,55,0,6,1,3,2,,,,,
Bemidji St.,2017,0,1,Oct 07 ,WINONA STATE  ,3,24,18.00,95.00,0.063,21,4,8,5,40,4,8,3,8,1,,,,,
Bemidji St.,2017,0,0,Oct 13 ,CONCORDIA-ST. PAUL  ,3,26,15.00,87.00,0.126,26,1,1,7,27,0,2,2,1,2,,,,,
Bemidji St.,2017,0,0,Oct 14 ,MINNESOTA ST.  ,3,24,20.00,76.00,0.053,24,1,4,9,23,2,6,4,5,0,,,,,
Bemidji St.,2017,0,1,Oct 20 ,NORTHERN STATE  ,4,48,24.00,134.00,0.179,46,5,5,4,52,5,4,2,7,4,,,,,
Bemidji St.,2017,0,1,Oct 21 ,MSU MOORHEAD  ,3,38,28.00,124.00,0.081,36,6,4,6,53,4,4,1,6,1,,,,,
Bemidji St.,2017,0,0,Oct 27 ,MARY  ,3,31,12.00,100.00,0.190,28,3,5,3,41,0,10,2,5,3,,,,,
Bemidji St.,2017,0,0,Oct 28 ,MINOT ST.  ,3,29,20.00,105.00,0.086,28,5,4,9,43,1,6,0,4,1,,,,,
Bemidji St.,2017,0,1,Oct 31 ,UM CROOKSTON  ,3,46,23.00,130.00,0.177,44,3,8,1,49,1,2,2,2,2,,,,,
Bemidji St.,2017,0,1,Nov 03 ,WAYNE ST. (NE)  ,3,23,22.00,97.00,0.010,23,0,4,6,55,5,0,0,5,3,,,,,
Bemidji St.,2017,0,1,Nov 04 ,AUGUSTANA,3,20,22.00,92.00,-0.022,19,2,4,5,40,4,4,2,6,1,,,,,
Bemidji St.,2017,0,0,Nov 10 ,SIOUX FALLS  ,3,32,12.00,108.00,0.185,28,8,4,6,42,1,9,3,5.5,2,,,,,
Bemidji St.,2017,0,0,Nov 11 ,SMSU  ,3,22,9.00,79.00,0.165,22,3,5,5,21,0,8,1,4,0,,,,,
Concordia St. Paul,2019,1,0,Sep 14 ,vs SW Minnesota State  ,4 ,61 ,25 ,136 ,.265 ,60 ,3 ,2 ,4 ,62 ,2 ,28 ,1 ,16.0 ,1 ,,,,,
